combo,spearman,countries,num_countries
"['Bread', 'Wheat']",0.3893258522172834,"['Afghanistan', 'Kyrgyzstan', 'Nigeria', 'Tajikistan']",4
"['Bread', 'Milk']",-0.2272725198354466,"['Gambia', 'Guatemala', 'Tajikistan']",3
"['Bread', 'Potatoes']",0.1449658859529775,"['Guatemala', 'Kyrgyzstan', 'Tajikistan']",3
"['Bread', 'Eggs']",-0.22322301161382577,"['Gambia', 'Guatemala', 'Kyrgyzstan', 'State of Palestine', 'Tajikistan']",5
"['Bread', 'Oil (vegetable)']",0.17581928325596807,"['Congo', 'Djibouti', 'Gambia', 'Guatemala', 'Kenya', 'Tajikistan']",6
"['Bread', 'Sugar']",0.2534309431110517,"['Djibouti', 'Gambia', 'Guatemala', 'Guinea', 'Kyrgyzstan', 'State of Palestine', 'Tajikistan']",7
"['Bread', 'Meat (beef)']",0.2665638439674323,"['Congo', 'Gambia', 'Guinea', 'Kyrgyzstan', 'Tajikistan']",5
"['Bread', 'Carrots']",0.16618842692244884,"['Gambia', 'Kyrgyzstan', 'Tajikistan']",3
"['Bread', 'Onions']",-0.26482712282636905,"['Gambia', 'Guatemala', 'Kyrgyzstan', 'Tajikistan']",4
"['Bread', 'Cabbage']",-0.04851012899299895,"['Gambia', 'Kyrgyzstan', 'Tajikistan']",3
"['Bread', 'Maize']",0.11326125757960878,"['Gambia', 'Kyrgyzstan', 'Nigeria', 'Tajikistan']",4
"['Bread', 'Salt']",0.2509605479367042,"['Gambia', 'Guatemala', 'Guinea', 'Kyrgyzstan', 'State of Palestine', 'Tajikistan']",6
"['Bread', 'Meat (mutton)']",0.3895199746816981,"['Gambia', 'Kyrgyzstan', 'Tajikistan']",3
"['Wheat', 'Wheat flour']",0.3792655915898841,"['India', 'Pakistan', 'Rwanda', 'Yemen']",4
"['Wheat', 'Milk']",0.41345837820462583,"['Pakistan', 'Rwanda', 'Tajikistan']",3
"['Wheat', 'Potatoes']",0.2823287195021511,"['India', 'Kyrgyzstan', 'Tajikistan', 'Yemen']",4
"['Wheat', 'Eggs']",0.4037711244343954,"['Indonesia', 'Kyrgyzstan', 'Pakistan', 'Rwanda', 'Tajikistan', 'Yemen']",6
"['Wheat', 'Oil (vegetable)']",0.3848644608210776,"['Indonesia', 'Mauritania', 'Tajikistan', 'Yemen', 'Zimbabwe']",5
"['Wheat', 'Sugar']",0.14501382888837852,"['Ethiopia', 'Guinea-Bissau', 'India', 'Indonesia', 'Kyrgyzstan', 'Mauritania', 'Pakistan', 'Tajikistan', 'Yemen']",9
"['Wheat', 'Meat (beef)']",0.3511893556610396,"['Indonesia', 'Kyrgyzstan', 'Rwanda', 'Tajikistan']",4
"['Wheat', 'Carrots']",0.3307702439210489,"['Kyrgyzstan', 'Rwanda', 'Tajikistan']",3
"['Wheat', 'Onions']",0.24184651173006833,"['India', 'Kyrgyzstan', 'Tajikistan', 'Yemen']",4
"['Wheat', 'Rice (imported)']",0.34799381625288717,"['Ethiopia', 'Guinea-Bissau', 'Mauritania', 'Nigeria', 'Yemen']",5
"['Wheat', 'Sorghum']",0.354555085453355,"['Ethiopia', 'Guinea-Bissau', 'Nigeria', 'Rwanda', 'Sudan', 'Zimbabwe']",6
"['Wheat', 'Maize']",0.45550160870031364,"['Guinea-Bissau', 'Kyrgyzstan', 'Nigeria', 'Rwanda', 'Tajikistan', 'Zimbabwe']",6
"['Wheat', 'Rice']",0.07688446454395155,"['India', 'Indonesia', 'Kyrgyzstan', 'Nepal', 'Rwanda', 'Tajikistan']",6
"['Wheat', 'Salt']",0.4262296142923694,"['Guinea-Bissau', 'Kyrgyzstan', 'Pakistan', 'Tajikistan', 'Yemen']",5
"['Wheat', 'Meat (mutton)']",0.3016511653890294,"['Kyrgyzstan', 'Rwanda', 'Tajikistan']",3
"['Wheat', 'Tea (black)']",0.2442114462846297,"['India', 'Kyrgyzstan', 'Tajikistan']",3
"['Wheat flour', 'Meat (chicken)']",0.5566065046835662,"['Armenia', 'Colombia', 'Democratic Republic of the Congo', 'Turkey']",4
"['Wheat flour', 'Sugar']",0.39823126823909966,"['Armenia', 'Azerbaijan', 'Colombia', 'Democratic Republic of the Congo', 'Djibouti', 'Egypt', 'India', 'Iraq', 'Lebanon', 'Madagascar', 'Pakistan', 'Sri Lanka', 'Syrian Arab Republic', 'Turkey', 'Yemen']",15
"['Wheat flour', 'Pasta']",0.323759987216428,"['Armenia', 'Colombia', 'Djibouti', 'Egypt', 'Lebanon', 'Turkey']",6
"['Wheat flour', 'Meat (beef)']",-0.03753343466166023,"['Armenia', 'Colombia', 'Congo', 'Democratic Republic of the Congo', 'Egypt', 'Rwanda']",6
"['Wheat flour', 'Fish (fresh)']",-0.1846123497991217,"['Armenia', 'Congo', 'Democratic Republic of the Congo', 'Turkey']",4
"['Wheat flour', 'Lentils (masur)']",0.17682061951668793,"['Bangladesh', 'India', 'Pakistan']",3
"['Wheat flour', 'Oil (palm)']",0.17138652162910326,"['Bangladesh', 'Congo', 'Democratic Republic of the Congo', 'India']",4
"['Wheat flour', 'Rice (imported)']",0.325630721607065,"['Democratic Republic of the Congo', 'Djibouti', 'Somalia', 'Yemen']",4
"['Wheat flour', 'Maize']",0.16386972245367623,"['Central African Republic', 'Democratic Republic of the Congo', 'Rwanda']",3
"['Wheat flour', 'Rice']",0.24915304243578712,"['Central African Republic', 'Egypt', 'India', 'Iraq', 'Rwanda', 'Swaziland', 'Syrian Arab Republic', 'Turkey']",8
"['Wheat flour', 'Cassava flour']",0.3696326111357852,"['Congo', 'Democratic Republic of the Congo', 'Rwanda']",3
"['Wheat flour', 'Rice (local)']",-0.07217917180962635,"['Democratic Republic of the Congo', 'Madagascar', 'Rwanda']",3
"['Wheat flour', 'Maize flour']",-0.30950732282422955,"['Colombia', 'Democratic Republic of the Congo', 'Georgia', 'Rwanda']",4
"['Wheat flour', 'Onions (red)']",0.4096381682040664,"['Colombia', 'Egypt', 'Rwanda']",3
"['Wheat flour', 'Plantains']",0.12848581796146624,"['Colombia', 'Congo', 'Democratic Republic of the Congo']",3
"['Wheat flour', 'Bananas']",-0.41530602304796355,"['Colombia', 'Rwanda', 'Turkey']",3
"['Wheat flour', 'Spinach']",-0.354524984295007,"['Colombia', 'Lebanon', 'Rwanda']",3
"['Wheat flour', 'Oil (sunflower)']",0.3696448992711175,"['Colombia', 'Egypt', 'India', 'Lebanon', 'Lesotho', 'Swaziland', 'Turkey']",7
"['Wheat flour', 'Maize meal']",0.08591735985615452,"['Democratic Republic of the Congo', 'Lesotho', 'Swaziland']",3
"['Milk', 'Potatoes']",0.28386114698247894,"['Armenia', 'Guatemala', 'Tajikistan', 'Ukraine']",4
"['Milk', 'Eggs']",0.3175639536451405,"['Armenia', 'Gambia', 'Guatemala', 'Pakistan', 'Rwanda', 'Tajikistan', 'Ukraine']",7
"['Milk', 'Oil (vegetable)']",0.5592121243114574,"['Armenia', 'Gambia', 'Guatemala', 'Tajikistan']",4
"['Milk', 'Sugar']",0.20746887037983014,"['Armenia', 'Gambia', 'Guatemala', 'Pakistan', 'Tajikistan', 'Ukraine']",6
"['Milk', 'Pasta']",0.3066649379599637,"['Armenia', 'Guatemala', 'Ukraine']",3
"['Milk', 'Meat (beef)']",-0.008877219872688566,"['Armenia', 'Gambia', 'Rwanda', 'Tajikistan', 'Ukraine']",5
"['Milk', 'Carrots']",0.1986926370365758,"['Armenia', 'Gambia', 'Rwanda', 'Tajikistan', 'Ukraine']",5
"['Milk', 'Cabbage']",0.2644919131886579,"['Armenia', 'Gambia', 'Rwanda', 'Tajikistan', 'Ukraine']",5
"['Milk', 'Rice']",0.32217976705310897,"['Rwanda', 'Tajikistan', 'Ukraine']",3
"['Milk', 'Salt']",0.06265598465170129,"['Gambia', 'Guatemala', 'Pakistan', 'Tajikistan']",4
"['Milk', 'Meat (mutton)']",0.18287404977291125,"['Gambia', 'Rwanda', 'Tajikistan']",3
"['Potatoes', 'Eggs']",0.09809099869762174,"['Armenia', 'Egypt', 'Guatemala', 'Jordan', 'Kyrgyzstan', 'Tajikistan', 'Turkey', 'Ukraine', 'Yemen']",9
"['Potatoes', 'Oil (vegetable)']",0.19688428220758109,"['Armenia', 'Colombia', 'Guatemala', 'Jordan', 'Peru', 'Tajikistan', 'Yemen']",7
"['Potatoes', 'Sugar']",0.2684115478417318,"['Armenia', 'Azerbaijan', 'Colombia', 'Egypt', 'Guatemala', 'India', 'Jordan', 'Kyrgyzstan', 'Peru', 'Tajikistan', 'Turkey', 'Ukraine', 'Yemen']",13
"['Potatoes', 'Tomatoes']",0.36999091268516604,"['Armenia', 'Colombia', 'Egypt', 'Guatemala', 'India', 'Jordan', 'Myanmar', 'Turkey', 'Yemen']",9
"['Potatoes', 'Meat (beef)']",0.27612151023020715,"['Armenia', 'Colombia', 'Egypt', 'Jordan', 'Kyrgyzstan', 'Myanmar', 'Tajikistan', 'Ukraine']",8
"['Potatoes', 'Carrots']",0.2841082061876752,"['Armenia', 'Colombia', 'Kyrgyzstan', 'Tajikistan', 'Ukraine']",5
"['Potatoes', 'Onions']",0.2868308169263891,"['Armenia', 'Guatemala', 'India', 'Jordan', 'Kyrgyzstan', 'Myanmar', 'Tajikistan', 'Turkey', 'Ukraine', 'Yemen']",10
"['Potatoes', 'Cabbage']",0.22983285564549746,"['Armenia', 'Colombia', 'Kyrgyzstan', 'Tajikistan', 'Ukraine']",5
